compound_id,scenario,metric,value
413,h2_run1,rel_log2,1.3320
471,h2_run1,rel_log2,-2.1662
488,h2_run1,rel_log2,-2.4048
637,h2_run1,rel_log2,0.5595
674,h2_run1,rel_log2,1.2044
703,h2_run1,rel_log2,-0.1397
739,h2_run1,rel_log2,-0.6330
781,h2_run1,rel_log2,-1.6036
787,h2_run1,rel_log2,-2.5251
800,h2_run1,rel_log2,1.2084
811,h2_run1,rel_log2,-0.5033
832,h2_run1,rel_log2,-2.2176
875,h2_run1,rel_log2,-2.1671
907,h2_run1,rel_log2,-2.9302
938,h2_run1,rel_log2,2.2932
963,h2_run1,rel_log2,1.5961
967,h2_run1,rel_log2,-0.5495
973,h2_run1,rel_log2,-0.6837
1001,h2_run1,rel_log2,1.4476
1009,h2_run1,rel_log2,0.8669
1018,h2_run1,rel_log2,-1.8619
1041,h2_run1,rel_log2,0.8090
1094,h2_run1,rel_log2,-1.7673
1095,h2_run1,rel_log2,-0.4971
1197,h2_run1,rel_log2,0.4485
1245,h2_run1,rel_log2,-0.2998
1293,h2_run1,rel_log2,-3.1985
1300,h2_run1,rel_log2,1.2908
1319,h2_run1,rel_log2,1.9543
1323,h2_run1,rel_log2,-1.6896
1341,h2_run1,rel_log2,2.2235
52,v1_run4,rel_log2,0.2203
172,v1_run4,rel_log2,0.2937
177,v1_run4,rel_log2,-0.5194
184,v1_run4,rel_log2,0.3380
295,v1_run4,rel_log2,0.3535
308,v1_run4,rel_log2,1.2228
323,v1_run4,rel_log2,-0.1705
332,v1_run4,rel_log2,-0.5230
366,v1_run4,rel_log2,0.7387
394,v1_run4,rel_log2,-0.8157
413,v1_run4,rel_log2,1.2556
471,v1_run4,rel_log2,-0.5914
488,v1_run4,rel_log2,0.6176
637,v1_run4,rel_log2,0.4758
674,v1_run4,rel_log2,0.3458
703,v1_run4,rel_log2,1.1005
739,v1_run4,rel_log2,-0.0621
781,v1_run4,rel_log2,-0.0844
787,v1_run4,rel_log2,-1.7836
800,v1_run4,rel_log2,0.5710
811,v1_run4,rel_log2,0.4639
832,v1_run4,rel_log2,0.4421
875,v1_run4,rel_log2,0.4141
907,v1_run4,rel_log2,-0.1140
938,v1_run4,rel_log2,0.0125
963,v1_run4,rel_log2,0.2044
967,v1_run4,rel_log2,0.0676
973,v1_run4,rel_log2,0.4503
1001,v1_run4,rel_log2,0.3859
1009,v1_run4,rel_log2,0.4573
1018,v1_run4,rel_log2,0.0192
1041,v1_run4,rel_log2,-0.1022
1094,v1_run4,rel_log2,0.4105
1095,v1_run4,rel_log2,0.4855
1197,v1_run4,rel_log2,0.2279
1245,v1_run4,rel_log2,0.6121
1293,v1_run4,rel_log2,-1.3581
1300,v1_run4,rel_log2,0.9787
1319,v1_run4,rel_log2,0.1677
1323,v1_run4,rel_log2,0.4868
1341,v1_run4,rel_log2,0.2406
52,s1_run3,rel_log2,-0.0327
172,s1_run3,rel_log2,0.0699
177,s1_run3,rel_log2,-0.0255
184,s1_run3,rel_log2,-0.1633
295,s1_run3,rel_log2,0.1965
308,s1_run3,rel_log2,0.0897
323,s1_run3,rel_log2,1.3529
332,s1_run3,rel_log2,-0.0841
366,s1_run3,rel_log2,0.5676
394,s1_run3,rel_log2,0.6811
413,s1_run3,rel_log2,1.8542
471,s1_run3,rel_log2,-0.4378
488,s1_run3,rel_log2,1.0357
637,s1_run3,rel_log2,0.3406
674,s1_run3,rel_log2,0.6557
703,s1_run3,rel_log2,0.9634
739,s1_run3,rel_log2,0.1664
781,s1_run3,rel_log2,0.1926
787,s1_run3,rel_log2,-1.7804
800,s1_run3,rel_log2,0.6025
811,s1_run3,rel_log2,0.3706
832,s1_run3,rel_log2,0.1478
875,s1_run3,rel_log2,0.3520
907,s1_run3,rel_log2,-0.0922
938,s1_run3,rel_log2,0.3967
963,s1_run3,rel_log2,0.1299
967,s1_run3,rel_log2,0.4929
973,s1_run3,rel_log2,0.2945
1001,s1_run3,rel_log2,0.8907
1009,s1_run3,rel_log2,0.1101
1018,s1_run3,rel_log2,-0.3947
1041,s1_run3,rel_log2,-0.0377
1094,s1_run3,rel_log2,-0.1249
1095,s1_run3,rel_log2,-4.0199
1197,s1_run3,rel_log2,0.0877
1245,s1_run3,rel_log2,0.2857
1293,s1_run3,rel_log2,-2.2316
1300,s1_run3,rel_log2,0.8299
1319,s1_run3,rel_log2,-0.0256
1323,s1_run3,rel_log2,-0.3651
1341,s1_run3,rel_log2,-0.1843
52,v2_CLint,rel_log2,0.5009
172,v2_CLint,rel_log2,0.3862
177,v2_CLint,rel_log2,-0.2672
184,v2_CLint,rel_log2,0.3543
295,v2_CLint,rel_log2,-0.7869
308,v2_CLint,rel_log2,0.6173
323,v2_CLint,rel_log2,0.6451
332,v2_CLint,rel_log2,-0.4646
366,v2_CLint,rel_log2,0.3078
394,v2_CLint,rel_log2,-0.8967
413,v2_CLint,rel_log2,1.0860
