compound_id,scenario,metric,value
967,v1_control_minimal,fe_cmax_rel,-0.1237
973,v1_control_minimal,fe_cmax_rel,-0.0847
1001,v1_control_minimal,fe_cmax_rel,0.8706
1009,v1_control_minimal,fe_cmax_rel,-0.7033
1018,v1_control_minimal,fe_cmax_rel,-0.0712
1041,v1_control_minimal,fe_cmax_rel,-0.2070
1094,v1_control_minimal,fe_cmax_rel,0.2557
1095,v1_control_minimal,fe_cmax_rel,-0.0799
1197,v1_control_minimal,fe_cmax_rel,-1.4910
1245,v1_control_minimal,fe_cmax_rel,-0.4450
1293,v1_control_minimal,fe_cmax_rel,-3.4261
1300,v1_control_minimal,fe_cmax_rel,-0.2284
1319,v1_control_minimal,fe_cmax_rel,-0.7459
1323,v1_control_minimal,fe_cmax_rel,-0.9974
1341,v1_control_minimal,fe_cmax_rel,-0.2535
52,v3_CLsys,fe_cmax_rel,-0.4835
172,v3_CLsys,fe_cmax_rel,-0.3521
177,v3_CLsys,fe_cmax_rel,-2.7163
184,v3_CLsys,fe_cmax_rel,-0.6779
295,v3_CLsys,fe_cmax_rel,-1.0022
308,v3_CLsys,fe_cmax_rel,-3.0772
323,v3_CLsys,fe_cmax_rel,0.0207
332,v3_CLsys,fe_cmax_rel,-0.3801
366,v3_CLsys,fe_cmax_rel,0.4979
394,v3_CLsys,fe_cmax_rel,0.2230
413,v3_CLsys,fe_cmax_rel,-2.4797
471,v3_CLsys,fe_cmax_rel,-1.7365
488,v3_CLsys,fe_cmax_rel,0.0272
637,v3_CLsys,fe_cmax_rel,0.2913
674,v3_CLsys,fe_cmax_rel,0.4057
703,v3_CLsys,fe_cmax_rel,-0.6865
739,v3_CLsys,fe_cmax_rel,-0.7508
781,v3_CLsys,fe_cmax_rel,-0.8656
787,v3_CLsys,fe_cmax_rel,-1.3403
800,v3_CLsys,fe_cmax_rel,0.1222
811,v3_CLsys,fe_cmax_rel,-0.9295
832,v3_CLsys,fe_cmax_rel,-2.5677
875,v3_CLsys,fe_cmax_rel,-0.4418
907,v3_CLsys,fe_cmax_rel,-0.3521
938,v3_CLsys,fe_cmax_rel,0.4532
963,v3_CLsys,fe_cmax_rel,0.5452
967,v3_CLsys,fe_cmax_rel,0.0787
973,v3_CLsys,fe_cmax_rel,-0.5468
1001,v3_CLsys,fe_cmax_rel,1.1198
1009,v3_CLsys,fe_cmax_rel,-0.1645
1018,v3_CLsys,fe_cmax_rel,-0.9369
1041,v3_CLsys,fe_cmax_rel,-0.0208
1094,v3_CLsys,fe_cmax_rel,-0.9307
1095,v3_CLsys,fe_cmax_rel,1.6065
1197,v3_CLsys,fe_cmax_rel,-0.4324
1245,v3_CLsys,fe_cmax_rel,-1.3125
1293,v3_CLsys,fe_cmax_rel,-4.0776
1300,v3_CLsys,fe_cmax_rel,-0.7101
1319,v3_CLsys,fe_cmax_rel,-0.0017
1323,v3_CLsys,fe_cmax_rel,-2.3896
1341,v3_CLsys,fe_cmax_rel,1.2745
52,v2_CLint,fe_cmax_rel,-0.0696
172,v2_CLint,fe_cmax_rel,-0.1114
177,v2_CLint,fe_cmax_rel,-3.1070
184,v2_CLint,fe_cmax_rel,0.2331
295,v2_CLint,fe_cmax_rel,-0.3217
308,v2_CLint,fe_cmax_rel,-1.3745
323,v2_CLint,fe_cmax_rel,-1.0353
332,v2_CLint,fe_cmax_rel,-0.8829
366,v2_CLint,fe_cmax_rel,-0.3361
394,v2_CLint,fe_cmax_rel,-2.0487
413,v2_CLint,fe_cmax_rel,-2.0453
471,v2_CLint,fe_cmax_rel,-0.5362
488,v2_CLint,fe_cmax_rel,-0.6445
637,v2_CLint,fe_cmax_rel,-0.3111
674,v2_CLint,fe_cmax_rel,-1.4926
703,v2_CLint,fe_cmax_rel,0.3496
739,v2_CLint,fe_cmax_rel,-1.0960
781,v2_CLint,fe_cmax_rel,-0.4679
787,v2_CLint,fe_cmax_rel,-1.0434
800,v2_CLint,fe_cmax_rel,0.0624
811,v2_CLint,fe_cmax_rel,-0.7650
832,v2_CLint,fe_cmax_rel,-1.5263
875,v2_CLint,fe_cmax_rel,0.0139
907,v2_CLint,fe_cmax_rel,-0.4607
938,v2_CLint,fe_cmax_rel,-1.5853
963,v2_CLint,fe_cmax_rel,-0.0716
967,v2_CLint,fe_cmax_rel,-0.3088
973,v2_CLint,fe_cmax_rel,-0.0726
1001,v2_CLint,fe_cmax_rel,-0.0762
1009,v2_CLint,fe_cmax_rel,-0.6014
1018,v2_CLint,fe_cmax_rel,-0.1185
1041,v2_CLint,fe_cmax_rel,-0.2100
1094,v2_CLint,fe_cmax_rel,0.3187
1095,v2_CLint,fe_cmax_rel,0.4180
1197,v2_CLint,fe_cmax_rel,-1.2236
1245,v2_CLint,fe_cmax_rel,-0.4701
1293,v2_CLint,fe_cmax_rel,-3.4235
1300,v2_CLint,fe_cmax_rel,-0.2395
1319,v2_CLint,fe_cmax_rel,-0.6594
1323,v2_CLint,fe_cmax_rel,-1.0193
1341,v2_CLint,fe_cmax_rel,0.0180
52,v0_baseline_simcyp,fe_cmax_rel,-0.1914
172,v0_baseline_simcyp,fe_cmax_rel,0.1992
177,v0_baseline_simcyp,fe_cmax_rel,-1.0697
184,v0_baseline_simcyp,fe_cmax_rel,0.2140
295,v0_baseline_simcyp,fe_cmax_rel,-0.6076
308,v0_baseline_simcyp,fe_cmax_rel,-1.4008
323,v0_baseline_simcyp,fe_cmax_rel,-1.0285
332,v0_baseline_simcyp,fe_cmax_rel,-0.0073
366,v0_baseline_simcyp,fe_cmax_rel,-1.0681
394,v0_baseline_simcyp,fe_cmax_rel,-1.2262
413,v0_baseline_simcyp,fe_cmax_rel,-1.4508
471,v0_baseline_simcyp,fe_cmax_rel,-0.3594
488,v0_baseline_simcyp,fe_cmax_rel,-0.4551
637,v0_baseline_simcyp,fe_cmax_rel,-0.5840
674,v0_baseline_simcyp,fe_cmax_rel,-0.2217
703,v0_baseline_simcyp,fe_cmax_rel,0.8423
739,v0_baseline_simcyp,fe_cmax_rel,0.3544
781,v0_baseline_simcyp,fe_cmax_rel,-0.2442
787,v0_baseline_simcyp,fe_cmax_rel,-1.2840
800,v0_baseline_simcyp,fe_cmax_rel,-0.1831
811,v0_baseline_simcyp,fe_cmax_rel,-0.1187
832,v0_baseline_simcyp,fe_cmax_rel,-0.1341
875,v0_baseline_simcyp,fe_cmax_rel,0.8470
907,v0_baseline_simcyp,fe_cmax_rel,-1.0339
