PUBCHEM_CID,SMILES,lgCL,lgVD,lgFu,CL_train_test,VD_train_test,Fu_train_test
2247,COc1ccc(cc1)CCN1CCC(CC1)N=c1[nH]c2c(n1Cc1ccc(cc1)F)cccc2,,,-1.638272164,,,train
2249,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-0.823908741,-0.022276395,-0.283996656,train,train,train
2250,CC(C)C1=C(C(=C(C2C=CC(F)=CC=2)N1CCC(O)CC(O)CC(O)=O)C1C=CC=CC=1)C(=O)NC1C=CC=CC=1,,,-1.698970004,,,train
2256,CCNC1N=C(Cl)N=C(NC(C)C)N=1,,,-0.915990045,,,train
2262,CCC(C)C1OC2(CC3CC(CC=C(C)C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)C=CC=C4COC5C(O)C(C)=CC(C(=O)O3)C45O)O2)C=CC1C,,,-1.173925184,,,train
2265,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,,,-0.489857301,,,train
2267,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,-0.26760624,1.176091259,-0.920818754,train,train,train
2268,COP(=S)(OC)SCN1N=NC2C=CC=CC=2C1=O,,,-0.670683749,,,test
2269,CN(C)C1CC(C)OC(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)N(C)CC(C)CC2(C)O)C1O,,,-0.084424303,,,test
2271,CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)C3C=CC=CC=3)C(=O)N2C1C(O)=O,,,-0.177178354,,,train
2273,NS(=O)(=O)C1=CC(C2NN=NN=2)=C(C=C1Cl)NCC1=CC=CS1,,,-1.397940009,,,train
2282,CC(OC(=O)OCC)OC(=O)C1N2C(SC1(C)C)C(NC(=O)C(N)C1=CC=CC=C1)C2=O,,,-0.09691001,,,train
2284,NCC(CC(O)=O)C1C=CC(Cl)=CC=1,,,-0.154901963,,,train
2294,CCC1(CC)C(=O)NC(=O)NC1=O,,,-0.045757495,,,test
2307,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)CC)C(=O)COC(=O)CC,,,-0.886056648,,,train
2308,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,,,-0.886056648,,,train
2314,CC1(C)OC2C=CC=C(OC(=O)NC)C=2O1,,,-0.704394786,,,train
2315,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,,,-1.22184875,,,test
2319,CCCCN(CC)C1C(=CC(=CC=1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,,,-2.903089987,,,train
2328,CC(C)N1C(=O)C2C=CC=CC=2NS1(=O)=O,,,-1.6821107,,,train
2333,CCC1OC2=CC=CC=C2C=1C(=O)C1=CC(Br)=C(O)C(Br)=C1,,,-2.0,,,train
2336,C1C2=CC=C3C=CC=C4C=CC(C2=C34)=C2C=CC=CC2=1,,,-1.588211995,,,train
2337,CCOC(=O)C1C=CC(N)=CC=1,,,-0.4710833,,,train
2341,CC(CC1C=CC=CC=1)N(C)CC1C=CC=CC=1,,,-0.886056648,,,train
2344,CN1C2CC(CC1CC2)OC(C1C=CC=CC=1)C1C=CC=CC=1,,,-1.301029996,,,test
2351,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,,,-2.124938737,,,test
2366,CNCCC1C=CC=CN=1,,,-0.013228259,,,train
2367,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O,,,-1.019542108,,,train
2368,C/N=C(\NC)NCc1ccccc1,,,-0.045757495,,,train
2369,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,-0.690369833,0.681241237,-0.301029996,train,train,train
2372,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,-0.48148606,-0.173925197,-1.645153066,train,train,train
2375,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,-2.339948021,-0.038918066,-1.441891698,train,train,train
2377,CNCCCCOC1C=CC=CC=1CC1C=CC=CC=1,,,-1.301029987,,,train
2381,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,-0.142667504,1.079181246,-1.013228266,test,test,test
2405,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,-0.653647026,0.380211242,-0.148741651,train,train,train
2431,CC[N+](C)(C)CC1C=CC=CC=1Br,,,-0.031517049,,,train
2441,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-1.514278574,-0.070581074,-0.408935393,test,test,test
